tracker	detector	nn	learner	sum
36	13	0	2	51
13	9	0	2	24
10	9	0	2	21
9	12	0	1	22
7	15	0	1	23
10	15	0	2	27
9	18	0	2	29
9	19	0	1	29
10	12	0	1	23
10	11	0	1	22
10	13	0	1	24
10	11	0	1	22
10	14	0	1	25
10	16	0	1	27
9	18	0	1	28
10	19	0	1	30
10	21	0	1	32
9	22	0	1	32
10	23	0	1	34
10	25	0	1	36
10	25	0	1	36
10	12	0	2	24
10	13	0	1	24
10	11	0	1	22
10	14	0	1	25
11	11	0	1	23
10	12	0	1	23
9	11	0	0	20
9	14	0	0	23
9	15	0	0	24
9	18	0	0	27
9	19	0	0	28
9	21	0	0	30
10	23	0	0	33
10	23	0	0	33
9	24	0	0	33
9	25	0	0	34
8	26	0	0	34
9	25	0	0	34
10	26	0	0	36
9	25	0	0	34
10	27	0	0	37
9	27	0	0	36
9	28	0	0	37
9	27	0	0	36
9	27	0	0	36
10	28	0	0	38
9	28	0	0	37
9	27	0	0	36
9	28	0	0	37
10	28	0	0	38
9	29	0	0	38
9	28	0	0	37
10	28	0	0	38
10	29	0	0	39
10	29	0	0	39
10	29	0	0	39
9	28	0	0	37
9	29	0	0	38
9	28	0	0	37
9	27	0	0	36
9	27	0	0	36
10	28	0	0	38
10	28	0	0	38
9	27	0	0	36
9	28	0	0	37
8	28	0	0	36
8	28	0	0	36
9	28	0	0	37
9	29	0	0	38
9	29	0	0	38
9	29	0	0	38
10	29	0	0	39
10	29	0	0	39
9	28	0	0	37
10	28	0	0	38
10	29	0	0	39
10	29	0	0	39
6	29	1	0	36
9	30	0	0	39
9	29	1	0	39
10	29	1	0	40
9	29	1	0	39
9	29	0	0	38
9	30	1	0	40
9	29	0	0	38
10	29	1	0	40
9	29	1	0	39
10	29	0	0	39
10	29	0	0	39
10	30	0	0	40
10	31	1	0	42
9	28	0	0	37
10	28	0	0	38
9	29	0	0	38
10	29	0	0	39
9	30	0	0	39
9	29	0	0	38
10	30	0	0	40
9	29	0	0	38
10	29	0	0	39
9	29	0	0	38
10	30	0	0	40
9	29	0	0	38
9	29	1	0	39
10	29	1	0	40
9	29	0	0	38
9	29	0	0	38
9	29	0	0	38
10	29	0	0	39
10	30	0	0	40
9	29	0	0	38
9	29	0	0	38
10	29	0	0	39
10	29	0	0	39
9	29	0	0	38
10	29	0	0	39
10	30	0	0	40
10	29	0	0	39
9	29	0	0	38
10	29	0	0	39
9	29	0	0	38
9	29	0	0	38
9	30	0	0	39
10	29	0	0	39
9	30	0	0	39
9	29	0	0	38
9	30	0	0	39
9	29	0	0	38
10	30	0	0	40
9	31	0	0	40
9	30	0	0	39
10	30	0	0	40
9	30	0	0	39
9	30	0	0	39
10	31	0	0	41
9	30	0	0	39
9	29	0	0	38
8	30	0	0	38
9	30	0	0	39
9	29	0	0	38
10	30	0	0	40
9	30	0	0	39
